label_number	label_name	x	y	z	Aligned_No
2	ADAL	1201.099363	79.266242	35.980892	1
255	ADAR	1211.993363	88.986726	81.039823	2
222	ADEL	1210.934766	75.000000	40.035582	3
256	ADER	1213.000000	75.000000	81.000000	4
220	ADESHL	1151.000000	63.000000	35.000000	5
253	ADESHR	1149.000000	83.000000	79.000000	6
6	ADFL	1285.126222	46.119847	45.225244	7
44	ADFR	1283.258427	48.794543	70.056180	8
207	ADLL	1266.027797	33.904795	52.834607	9
208	ADLR	1266.006188	39.996668	65.997620	10
197	AFDL	1300.000000	52.149733	36.807487	11
238	AFDR	1303.829293	61.829293	82.308586	12
22	AIAL	1281.468531	85.492618	54.871018	13
31	AIAR	1275.815868	92.562874	61.323353	14
228	AIBL	1286.000000	62.000000	45.000000	15
261	AIBR	1284.000000	68.000000	73.000000	16
363	AIML	1237.453507	87.000000	49.340131	17
359	AIMR	1236.936877	93.960133	60.465116	18
3	AINL	1218.476242	59.884762	39.117422	19
48	AINR	1222.540268	66.599832	79.980705	20
364	AIYL	1229.192513	86.978610	42.850267	21
360	AIYR	1244.014760	94.955720	69.003690	22
225	AIZL	1229.000000	71.000000	44.000000	23
259	AIZR	1232.999267	74.004399	73.002199	24
198	ALA	1324.005957	31.955324	59.939687	25
443	ALML	866.000000	38.000000	42.000000	26
441	ALMR	902.000000	44.000000	80.000000	27
380	ALNL	289.960089	50.004435	49.960089	28
386	ALNR	285.000000	54.000000	64.000000	29
448	AMSHL	1208.000000	44.000000	37.000000	30
460	AMSHR	1215.000000	52.000000	84.000000	31
58	AMSOL	1477.000000	47.000000	44.000000	32
83	AMSOR	1499.229219	59.195970	80.229219	33
51	ARCADL	1540.000000	59.000000	37.000000	34
79	ARCADR	1520.015453	63.975717	80.002208	35
135	ARCAV	1584.000000	89.000000	61.000000	36
128	ARCPD	1556.910198	38.822679	65.104262	37
57	ARCPDL	1493.000000	53.000000	38.000000	38
84	ARCPDR	1491.847264	53.017477	73.152736	39
137	ARCPV	1562.000000	94.000000	55.000000	40
52	ARCPVL	1523.000000	72.000000	38.000000	41
80	ARCPVR	1513.000000	75.000000	79.000000	42
233	ASEL	1256.000000	52.000000	37.000000	43
251	ASER	1257.000000	62.000000	83.000000	44
215	ASGL	1255.000000	38.000000	44.000000	45
243	ASGR	1265.000000	44.000000	81.000000	46
232	ASHL	1275.000000	56.000000	35.000000	47
250	ASHR	1278.807321	69.037621	83.380783	48
209	ASIL	1250.014677	42.998043	55.146282	49
210	ASIR	1253.087609	47.029526	70.912391	50
230	ASJL	1258.000000	71.000000	34.000000	51
252	ASJR	1263.000000	83.000000	82.000000	52
206	ASKL	1287.428018	35.621816	51.325028	53
43	ASKR	1289.261228	37.281393	70.165903	54
231	AUAL	1276.950856	74.950856	33.926284	55
249	AUAR	1278.846093	85.831886	82.299132	56
196	AVAL	1323.000000	60.000000	36.000000	57
237	AVAR	1321.000000	64.000000	82.000000	58
226	AVBL	1241.237939	49.524939	47.762061	59
38	AVBR	1246.812295	61.928697	74.270849	60
218	AVDL	1236.000000	57.000000	35.000000	61
246	AVDR	1241.000000	72.000000	85.000000	62
227	AVEL	1312.000000	60.000000	45.000000	63
260	AVER	1308.991930	66.994864	73.002201	64
350	AVG	1183.553942	105.174274	59.063797	65
216	AVHL	1236.314948	37.927258	39.683453	66
244	AVHR	1244.000000	44.000000	80.000000	67
219	AVJL	1226.000000	45.000000	40.000000	68
245	AVJR	1235.000000	56.000000	83.000000	69
365	AVKL	1220.000000	88.000000	50.000000	70
362	AVKR	1214.000000	93.000000	69.000000	71
280	AVL	1274.000000	83.000000	71.000000	72
213	AWAL	1268.991183	50.994122	47.016165	73
241	AWAR	1281.856820	53.057272	77.928410	74
214	AWBL	1273.000000	40.000000	38.000000	75
242	AWBR	1292.000000	49.000000	83.000000	76
1	AWCL	1294.263178	69.338372	34.576357	77
50	AWCR	1296.378808	76.280636	82.295870	78
396	B	307.011145	80.020263	55.998311	79
73	BAGL	1369.871904	70.739539	36.196413	80
102	BAGR	1370.000000	75.000000	80.000000	81
374	BDUL	1068.000000	66.000000	36.000000	82
426	BDUR	1054.000000	72.000000	80.000000	83
8	CANL	759.408784	55.290541	41.807432	84
49	CANR	784.168360	61.872279	78.058055	85
520	CCLA	814.000000	88.000000	47.000000	86
521	CCLP	793.000000	80.000000	45.000000	87
503	CCRA	1058.000000	89.000000	73.000000	88
504	CCRP	1031.000000	86.000000	73.000000	89
199	CEPDL	1323.000000	32.000000	47.000000	90
200	CEPDR	1323.000000	35.000000	72.000000	91
64	CEPSHDL	1356.000000	46.000000	42.000000	92
93	CEPSHDR	1355.000000	51.000000	76.000000	93
74	CEPSHVL	1356.000000	80.000000	41.000000	94
114	CEPSHVR	1350.882643	85.233728	74.168639	95
63	CEPSODL	1408.000000	45.000000	37.000000	96
89	CEPSODR	1405.000000	53.000000	78.000000	97
77	CEPSOVL	1412.065234	86.035582	36.000000	98
115	CEPSOVR	1397.977011	87.816092	74.183908	99
120	CEPVL	1356.837264	92.868711	51.331761	100
119	CEPVR	1356.917614	92.402462	65.023674	101
345	DA1	1133.892424	103.064394	58.155303	102
