label_number	label_name	x	y	z	Aligned_No
474	ADAL	1358.000000	64.000000	100.000000	1
5	ADAR	1365.420473	63.975705	44.579527	2
475	ADEL	1376.994407	70.003356	96.998881	3
6	ADER	1373.469327	75.729005	45.170042	4
274	ADESHL	1308.945394	70.455603	99.004748	5
42	ADESHR	1290.088277	86.000860	51.284895	6
490	ADFL	1462.000000	94.000000	88.000000	7
37	ADFR	1463.716919	101.757062	50.013381	8
188	ADLL	1440.435069	112.109928	79.428101	9
98	ADLR	1436.399263	110.166992	63.973758	10
484	AFDL	1474.000000	86.000000	97.000000	11
21	AFDR	1475.347365	88.224227	47.346506	12
499	AIAL	1447.000000	60.000000	78.000000	13
504	AIAR	1446.997755	61.020202	67.015713	14
228	AIBL	1457.323982	77.046205	86.590484	15
68	AIBR	1461.971659	82.857399	57.108890	16
361	AIML	1394.000000	56.000000	78.000000	17
362	AIMR	1403.000000	58.000000	65.000000	18
479	AINL	1391.000000	85.000000	96.000000	19
7	AINR	1388.636982	84.898469	45.225184	20
360	AIYL	1392.982659	56.000000	88.173410	21
363	AIYR	1403.000000	58.000000	54.000000	22
492	AIZL	1398.000000	74.000000	92.000000	23
472	AIZR	1402.000000	74.000000	51.000000	24
152	ALA	1498.486576	113.364868	72.614421	25
270	ALML	958.810047	109.641549	95.628728	26
54	ALMR	1007.734815	102.697596	54.212200	27
230	ALNL	290.130504	91.354337	87.053520	28
129	ALNR	288.505355	91.444012	69.363843	29
301	AMSHL	1379.000000	102.000000	101.000000	30
11	AMSHR	1374.867691	99.748126	45.143366	31
275	AMSOL	1662.507322	93.433501	97.901705	32
30	AMSOR	1681.212431	90.032852	50.546060	33
271	ARCADL	1704.526457	79.073231	96.703729	34
26	ARCADR	1704.844205	83.894194	48.573638	35
123	ARCAV	1761.888084	56.771421	67.606045	36
121	ARCPD	1730.863860	108.529814	66.554178	37
284	ARCPDL	1641.557764	95.341201	97.722981	38
43	ARCPDR	1659.472942	93.107475	51.764661	39
541	ARCPV	1729.000000	53.000000	67.000000	40
265	ARCPVL	1678.506846	66.115159	95.471638	41
29	ARCPVR	1690.614269	71.125814	50.159562	42
478	ASEL	1427.000000	85.000000	98.000000	43
463	ASER	1431.883041	87.070175	46.812865	44
482	ASGL	1430.000000	104.000000	94.000000	45
49	ASGR	1431.642455	102.361929	52.381340	46
290	ASHL	1448.308430	79.490156	98.755427	47
464	ASHR	1451.338935	82.427353	46.272492	48
194	ASIL	1419.624295	105.687030	80.609962	49
96	ASIR	1415.739356	105.887591	63.489356	50
279	ASJL	1425.895926	65.778440	98.157476	51
12	ASJR	1429.483531	66.316145	45.736501	52
213	ASKL	1461.061277	109.939711	82.857679	53
99	ASKR	1461.507989	108.494293	64.944387	54
286	AUAL	1443.997841	62.401241	99.597949	55
