label_number	label_name	x	y	z	Aligned_No
264	ADAL	1105.768021	56.834862	82.454784	1
229	ADAR	1110.989831	45.950282	33.984181	2
266	ADEL	1119.000000	54.000000	81.000000	3
230	ADER	1108.000000	56.000000	38.000000	4
25	ADESHL	1052.000000	59.000000	84.000000	5
227	ADESHR	1054.000000	49.000000	36.000000	6
284	ADFL	1173.000000	72.000000	69.000000	7
246	ADFR	1176.000000	71.000000	45.000000	8
261	ADLL	1152.000000	84.000000	63.000000	9
256	ADLR	1156.022599	82.994350	51.943503	10
21	AFDL	1182.110006	65.955252	76.009944	11
2	AFDR	1182.919908	63.936308	35.636918	12
312	AIAL	1169.055749	38.998839	65.019744	13
313	AIAR	1172.157956	37.980256	55.118467	14
291	AIBL	1177.000000	57.000000	71.000000	15
250	AIBR	1180.000000	58.000000	44.000000	16
209	AIML	1130.166865	37.866508	61.766389	17
208	AIMR	1130.000000	38.000000	54.018598	18
265	AINL	1111.000000	62.000000	77.000000	19
239	AINR	1117.000000	66.000000	37.000000	20
210	AIYL	1125.079455	42.015891	69.023837	21
212	AIYR	1135.000000	39.000000	43.000000	22
276	AIZL	1128.180225	65.240300	79.420526	23
253	AIZR	1125.000000	55.000000	42.000000	24
322	ALA	1204.977324	80.960317	57.995465	25
29	ALML	792.000000	86.000000	77.000000	26
438	ALMR	781.000000	84.000000	43.000000	27
519	ALNL	232.063709	71.072810	67.018203	28
511	ALNR	237.934602	74.011891	50.727705	29
24	AMSHL	1102.541209	75.793956	79.217033	30
433	AMSHR	1105.000000	75.000000	35.000000	31
372	AMSOL	1354.000000	65.000000	78.000000	32
395	AMSOR	1364.000000	70.000000	39.000000	33
370	ARCADL	1393.000000	60.000000	78.000000	34
386	ARCADR	1384.000000	71.000000	38.000000	35
404	ARCAV	1425.000000	44.000000	54.000000	36
419	ARCPD	1415.000000	89.000000	52.000000	37
373	ARCPDL	1356.000000	74.000000	70.000000	38
396	ARCPDR	1351.000000	72.000000	42.000000	39
406	ARCPV	1395.000000	42.000000	54.000000	40
378	ARCPVL	1367.000000	51.000000	76.000000	41
387	ARCPVR	1374.000000	61.000000	39.000000	42
274	ASEL	1155.000000	68.000000	81.000000	43
3	ASER	1147.421853	60.807746	33.699862	44
278	ASGL	1145.000000	77.000000	75.000000	45
247	ASGR	1151.000000	74.000000	44.000000	46
273	ASHL	1171.000000	64.000000	82.000000	47
237	ASHR	1167.018038	59.977452	34.959414	48
262	ASIL	1136.948198	78.012012	66.894144	49
255	ASIR	1140.000000	78.000000	50.000000	50
269	ASJL	1157.000000	50.000000	80.000000	51
233	ASJR	1154.000000	48.000000	35.000000	52
260	ASKL	1170.991137	82.044313	62.974889	53
257	ASKR	1173.026376	82.000000	51.868119	54
270	AUAL	1169.766389	48.133492	80.166865	55
234	AUAR	1171.044879	46.104718	33.895282	56
281	AVAL	1202.000000	63.000000	81.000000	57
243	AVAR	1203.176289	60.061586	36.799846	58
293	AVBL	1141.000000	65.000000	71.000000	59
248	AVBR	1139.000000	65.000000	44.000000	60
275	AVDL	1138.056497	68.016949	82.016949	61
238	AVDR	1131.118467	59.078978	34.861789	62
290	AVEL	1194.000000	59.000000	71.000000	63
249	AVER	1195.994407	57.003356	43.998881	64
220	AVG	1100.415121	27.308131	57.446505	65
279	AVHL	1128.000000	77.000000	75.000000	66
241	AVHR	1140.000000	76.000000	38.000000	67
280	AVJL	1115.000000	73.000000	75.000000	68
240	AVJR	1129.010262	69.928164	36.917902	69
211	AVKL	1115.057143	40.102857	66.022857	70
214	AVKR	1111.016988	41.010193	44.013590	71
314	AVL	1170.266839	46.549223	46.168394	72
285	AWAL	1158.000000	72.000000	69.000000	73
557	AWAR	1163.000000	65.000000	44.000000	74
277	AWBL	1165.000000	78.000000	79.000000	75
242	AWBR	1166.032186	74.104790	37.931886	76
23	AWCL	1185.033708	52.383427	79.585674	77
1	AWCR	1184.987148	51.281518	32.795594	78
526	B	259.000000	58.000000	57.000000	79
347	BAGL	1246.000000	55.000000	81.000000	80
329	BAGR	1251.111515	48.168485	36.738182	81
28	BDUL	977.000000	58.000000	80.000000	82
437	BDUR	973.000000	59.000000	38.000000	83
30	CANL	686.000000	58.000000	81.000000	84
439	CANR	716.000000	62.000000	39.000000	85
178	CCLA	739.000000	38.000000	64.000000	86
179	CCLP	714.000000	40.000000	70.000000	87
540	CCRA	951.000000	39.000000	43.000000	88
132	CCRP	909.000000	40.000000	46.000000	89
324	CEPDL	1202.000000	82.000000	70.000000	90
323	CEPDR	1202.000000	82.000000	47.000000	91
356	CEPSHDL	1233.981962	73.977452	77.040586	92
359	CEPSHDR	1233.000000	69.000000	38.000000	93
352	CEPSHVL	1238.000000	47.000000	73.000000	94
334	CEPSHVR	1232.000000	44.000000	36.000000	95
369	CEPSODL	1291.000000	75.000000	78.000000	96
399	CEPSODR	1290.000000	70.000000	38.000000	97
350	CEPSOVL	1264.000000	43.000000	72.000000	98
394	CEPSOVR	1287.000000	53.000000	36.000000	99
340	CEPVL	1237.975104	33.000000	58.012448	100
341	CEPVR	1237.975104	34.006224	47.987552	101
226	DA1	1032.000000	30.000000	62.000000	102
555	DA2	967.000000	32.000000	61.000000	103
553	DA3	885.000000	31.000000	61.000000	104
551	DA4	793.000000	37.000000	62.000000	105
548	DA5	663.000000	28.000000	62.000000	106
545	DA6	517.000000	41.000000	59.000000	107
542	DA7	402.000000	46.000000	59.000000	108
495	DA8	299.000000	50.000000	65.000000	109
503	DA9	294.000000	54.000000	50.000000	110
224	DB1	1072.000000	27.000000	62.000000	111
215	DB2	1128.000000	27.000000	58.000000	112
556	DB3	990.000000	31.000000	61.000000	113
552	DB4	860.000000	31.000000	62.000000	114
549	DB5	703.000000	31.000000	58.000000	115
546	DB6	543.000000	36.000000	61.000000	116
543	DB7	423.000000	45.000000	59.000000	117
223	DD1	1084.000000	31.000000	62.000000	118
554	DD2	937.000000	32.000000	59.000000	119
550	DD3	770.000000	37.000000	61.000000	120
547	DD4	594.000000	33.000000	63.000000	121
544	DD5	449.000000	41.000000	59.000000	122
497	DD6	310.000000	51.000000	62.000000	123
528	DEP	241.000000	74.000000	60.000000	124
22	DL1	1400.098940	75.364841	74.084806	125
193	DL10	1024.000000	93.000000	71.000000	126
17	DL11	954.141732	94.766404	63.939633	127
194	DL12	894.000000	91.000000	69.000000	128
195	DL13	825.000000	93.000000	69.000000	129
196	DL14	757.000000	90.000000	70.000000	130
197	DL15	707.000000	86.000000	64.000000	131
198	DL16	616.000000	82.000000	70.000000	132
199	DL17	559.000000	82.000000	68.000000	133
200	DL18	472.000000	85.000000	68.000000	134
201	DL19	420.000000	87.000000	65.000000	135
184	DL2	1383.045506	82.954494	71.072810	136
202	DL20	375.000000	83.000000	67.000000	137
203	DL21	220.000000	78.000000	60.000000	138
185	DL3	1342.959047	84.983619	70.090097	139
186	DL4	1307.931429	80.080000	75.057143	140
187	DL5	1233.000000	90.000000	70.000000	141
188	DL6	1222.000000	82.000000	75.000000	142
189	DL7	1116.989910	91.016816	69.000000	143
191	DL8	1099.000000	96.000000	65.000000	144
192	DL9	1037.000000	94.000000	68.000000	145
142	DR1	1395.000000	81.000000	43.000000	146
149	DR10	1034.000000	87.000000	44.000000	147
150	DR11	973.000000	97.000000	50.000000	148
151	DR12	897.000000	91.000000	45.000000	149
152	DR13	859.000000	95.000000	53.000000	150
153	DR14	816.000000	93.000000	49.000000	151
154	DR15	760.000000	92.000000	51.000000	152
155	DR16	679.000000	82.000000	50.000000	153
156	DR17	605.000000	82.000000	52.000000	154
157	DR18	541.000000	84.000000	53.000000	155
158	DR19	460.000000	85.000000	53.000000	156
6	DR2	1358.698113	83.845912	43.635220	157
159	DR20	376.000000	83.000000	54.000000	158
160	DR21	278.000000	85.000000	56.000000	159
143	DR3	1328.000000	84.000000	44.000000	160
144	DR4	1300.000000	78.000000	40.000000	161
9	DR5	1228.780105	87.734729	46.551483	162
145	DR6	1218.000000	80.000000	42.000000	163
146	DR7	1133.000000	90.000000	50.000000	164
147	DR8	1109.000000	95.000000	47.000000	165
148	DR9	1045.000000	95.000000	49.000000	166
527	DVA	268.000000	73.000000	59.000000	167
529	DVC	243.000000	62.000000	60.000000	168
115	E1D	1380.100861	80.646986	57.747847	169
109	E1VL	1393.731210	54.015287	69.536306	170
120	E1VR	1395.042424	57.042424	48.381818	171
112	E2D	1451.040770	81.938845	57.993205	172
106	E2VL	1453.000000	55.000000	67.000000	173
99	E2VR	1452.000000	59.000000	47.000000	174
116	E3D	1346.918089	74.036405	57.036405	175
110	E3VL	1368.213716	52.213716	68.717703	176
102	E3VR	1363.987668	50.007848	49.012332	177
207	EXC	1147.000000	40.000000	51.000000	178
18	EXC/DUCT	1150.286904	43.299773	66.485995	179
169	EXC/GL/L	1102.000000	39.000000	73.000000	180
128	EXC/GL/R	1062.000000	37.000000	44.000000	181
525	F	280.000000	68.000000	60.000000	182
267	FLPL	1130.000000	52.000000	79.000000	183
231	FLPR	1119.724351	52.915946	34.647713	184
204	G1	1191.000000	26.000000	58.000000	185
60	G1AL	1096.000000	74.000000	69.000000	186
59	G1AR	1097.850267	73.978610	44.192513	187
39	G1P	1041.000000	84.000000	57.000000	188
205	G2	1173.112011	30.269906	58.284750	189
42	G2L	1047.000000	46.000000	65.000000	190
41	G2R	1047.000000	46.000000	49.000000	191
325	GLRDL	1204.000000	72.000000	63.000000	192
326	GLRDR	1204.000000	71.000000	52.000000	193
298	GLRL	1206.000000	54.000000	71.000000	194
299	GLRR	1206.000000	51.000000	46.000000	195
297	GLRVL	1209.125843	44.265169	66.842697	196
296	GLRVR	1209.187192	43.007389	46.093596	197
462	H0L	1333.000000	56.000000	81.000000	198
430	H0R	1338.000000	58.000000	34.000000	199
463	H1L	1232.000000	54.000000	84.000000	200
431	H1R	1241.000000	52.000000	31.000000	201
464	H2L	1090.000000	56.000000	84.000000	202
432	H2R	1089.000000	54.000000	31.000000	203
190	HMC	1131.000000	92.000000	62.000000	204
31	HSNL	642.000000	46.000000	79.000000	205
440	HSNR	640.000000	47.000000	44.000000	206
538	HYP101	88.000000	65.000000	54.000000	207
539	HYP102	61.000000	62.000000	57.000000	208
536	HYP11	136.000000	70.000000	59.000000	209
377	HYP1L	1338.000000	72.000000	73.000000	210
397	HYP1R	1337.215618	70.000000	42.000000	211
407	HYP1V	1387.000000	41.000000	63.000000	212
371	HYP2L	1376.000000	60.000000	78.000000	213
405	HYP2V	1413.000000	42.000000	63.000000	214
417	HYP31	1445.000000	91.000000	59.000000	215
418	HYP32	1426.000000	91.000000	60.000000	216
416	HYP4D	1491.000000	83.000000	60.000000	217
402	HYP4V1	1491.000000	47.000000	60.000000	218
403	HYP4V2	1460.000000	44.000000	58.000000	219
161	HYP5L	1424.000000	63.000000	80.000000	220
119	HYP5R	1427.000000	69.000000	39.000000	221
424	HYP6D1	1396.000000	95.000000	58.000000	222
425	HYP6D2	1348.000000	87.000000	59.000000	223
426	HYP6D3	1326.000000	87.000000	58.000000	224
427	HYP6D4	1286.000000	90.000000	60.000000	225
412	HYP6V1	1359.000000	29.000000	57.000000	226
413	HYP6V2	1331.000000	30.000000	57.000000	227
533	HYP71	182.000000	53.000000	57.000000	228
534	HYP72	162.000000	59.000000	55.000000	229
26	HYP7ABLD	1010.000000	74.000000	83.000000	230
27	HYP7ABLV	1010.000000	51.000000	82.000000	231
436	HYP7ABR3	990.000000	67.000000	35.000000	232
434	HYP7ABRD	1035.000000	63.000000	35.000000	233
435	HYP7ABRV	1014.000000	57.000000	35.000000	234
