label_number	label_name	x	y	z	Aligned_No
249	ADAL	1084.546562	73.312946	87.947114	1
416	ADAR	1095.000000	73.000000	32.000000	2
442	ADEL	1100.990899	79.908987	83.972696	3
419	ADER	1104.000000	82.000000	35.000000	4
251	ADESHL	1070.669720	94.963901	87.294720	5
11	ADESHR	1047.147721	96.598875	31.838070	6
206	ADFL	1186.611832	99.595065	73.645365	7
30	ADFR	1187.266745	99.086075	38.643361	8
161	ADLL	1167.459622	118.120384	65.486941	9
432	ADLR	1170.000000	113.000000	43.000000	10
449	AFDL	1198.000000	95.000000	81.000000	11
425	AFDR	1199.866508	95.833135	33.766389	12
463	AIAL	1176.061684	66.938316	63.277580	13
476	AIAR	1174.000000	69.000000	54.000000	14
182	AIBL	1183.843464	82.291286	70.792630	15
43	AIBR	1188.054790	83.733876	41.513150	16
415	AIML	1125.000000	68.000000	65.000000	17
413	AIMR	1130.672302	65.000000	50.573472	18
231	AINL	1118.804310	94.734152	81.751441	19
16	AINR	1110.110834	97.726027	34.490037	20
225	AIYL	1126.963891	64.387374	76.388602	21
414	AIYR	1135.000000	65.000000	43.000000	22
444	AIZL	1128.000000	82.000000	77.000000	23
420	AIZR	1124.989738	80.928164	41.082098	24
128	ALA	1222.654376	119.575184	57.302340	25
227	ALML	814.813970	114.490158	80.401584	26
45	ALMR	770.949416	108.771725	44.839726	27
177	ALNL	222.199017	95.941770	67.812371	28
288	ALNR	220.899881	88.866508	47.733015	29
246	AMSHL	1099.188347	107.913782	85.101054	30
548	AMSHR	1073.000000	108.000000	31.000000	31
523	AMSOL	1352.000000	100.000000	85.000000	32
21	AMSOR	1392.373900	90.643706	38.854093	33
223	ARCADL	1410.653682	93.290975	80.184972	34
28	ARCADR	1404.211714	84.843197	36.403905	35
145	ARCAV	1483.459823	57.111504	62.692743	36
557	ARCPD	1431.061155	113.000000	55.959230	37
210	ARCPDL	1369.068374	98.536236	74.454033	38
29	ARCPDR	1366.812212	93.823338	42.010855	39
527	ARCPV	1452.000000	57.000000	63.000000	40
232	ARCPVL	1402.575467	79.805581	82.296793	41
